"portcode","name","unctad","netpascode","ets","ishistorical","isactive","additionaldata","rankorder"
"EGMAH","MARSA AL HAMRA","EGMAH",NULL,NULL,False,True,NULL,0
"LYMHR","MARSA AL HARIGA","LYMHR",NULL,NULL,False,True,NULL,2
"EGMAAM","MARSA ALAM",NULL,NULL,NULL,False,True,NULL,0
"SDMBH","MARSA BASHAYER","SDMBH",NULL,NULL,False,True,NULL,0
"LYLMQ","MARSA BREGA","LYLMQ",NULL,NULL,False,True,NULL,0
"LYMBR","MARSA EL BREGA","LYMBR",NULL,NULL,False,True,NULL,31
"EGMAN","MARSA EL HAMRA","EGMAN",NULL,NULL,False,True,NULL,0
"LYMHR","MARSA EL HARIGA","LYMHR",NULL,NULL,False,True,NULL,0
"LYLMQ","MARSA ELBREGA","LYLMQ",NULL,NULL,False,True,NULL,0
"LYSOU","MARSA SU.S.A","LYSOU",NULL,NULL,False,True,NULL,0
"LYSOU","MARSA SUSA","LYSOU",NULL,NULL,False,True,NULL,0
"ITMRA","MARSALA","ITMRA",NULL,NULL,False,True,NULL,1
"MTMAR","MARSAXLOKK","MTMAR",NULL,NULL,False,True,NULL,30
"NZMAP","MARSDEN POINT","NZMAP",NULL,NULL,False,True,NULL,47
"FRMRS","MARSEILLE","FRMRS",NULL,NULL,False,True,NULL,76
"FRMRS","Marseilles","FRMRS",NULL,NULL,False,True,NULL,0
"FRMRS","MARSELLA","FRMRS",NULL,NULL,False,True,NULL,0
"BSMAHB","MARSH HARBOUR",NULL,NULL,NULL,False,True,NULL,0
"USMAID","MARSH ISLAND",NULL,NULL,NULL,False,True,NULL,0
"LRMAR","MARSHALL","LRMAR",NULL,NULL,False,True,NULL,0
"DKMRS","Marstal","DKMRS",NULL,NULL,False,True,NULL,0
"SEMAR","MARSTRAND","SEMAR",NULL,NULL,False,True,NULL,0
"FRMARE","Martigues",NULL,NULL,NULL,False,True,NULL,0
"ARMAGI","MARTIN GARCIA",NULL,NULL,NULL,False,True,NULL,1
"BRMAVZ","MARTIN VAZ",NULL,NULL,NULL,False,True,NULL,0
"USMRZ","MARTINEZ","USMRZ",NULL,NULL,False,True,NULL,14
"MQFDF","MARTINIQUE","MQFDF",NULL,NULL,False,True,NULL,7
"PHGAS","MARUBDYQYE IS","PHGAS",NULL,NULL,False,True,NULL,0
"PHGAS","MARUBDYQYE IS.","PHGAS",NULL,NULL,False,True,NULL,0
"JPMAR","MARUGAME","JPMAR",NULL,NULL,False,True,NULL,0
"AUMBH","MARYBOROUGH","AUMBH",NULL,NULL,False,True,NULL,0
"GBMRY","MARYPORT","GBMRY",NULL,NULL,False,True,NULL,0
"CAMTN","MARYSTOWN","CAMTN",NULL,NULL,False,True,NULL,58
"MYMAMT","MASA MARINE TERMINAL",NULL,NULL,NULL,False,True,NULL,0
"MASAN","Masan","KRMAS",NULL,NULL,False,True,NULL,0
"PHMAS","MASAO","PHMAS",NULL,NULL,False,True,NULL,0
"PGMSRU","MASARAU","PGMSR",NULL,NULL,False,True,NULL,0
"PHMBT","MASBATE","PHMBT",NULL,NULL,False,True,NULL,0
"PHMBT","MASBATE IS","PHMBT",NULL,NULL,False,True,NULL,0
"PHMBT","MASBATE IS.","PHMBT",NULL,NULL,False,True,NULL,0
"SAMAIS","MASHABIH IS.",NULL,NULL,NULL,False,True,NULL,0
"QAUMS","MASIEED","QAUMS",NULL,NULL,False,True,NULL,0
